Date,Projection,Error,ErrorUp,ErrorDown
1/1/2017,62391.83432,2655.702653,65047.53697,59736.13166
2/1/2017,57820.05932,3311.360805,61131.42012,54508.69852
3/1/2017,63946.34779,3634.939366,67581.28716,60311.40843
4/1/2017,63371.47946,3815.852888,67187.33235,59555.62657
5/1/2017,66671.91769,3925.679655,70597.59735,62746.23804
6/1/2017,67691.41991,3997.298082,71688.71799,63694.12182
7/1/2017,70651.7812,4047.269629,74699.05083,66604.51158
8/1/2017,72024.75424,4084.442449,76109.19669,67940.31179
9/1/2017,69187.70956,4113.765442,73301.475,65073.94412
10/1/2017,68743.29813,4138.11882,72881.41695,64605.17931
11/1/2017,64102.4676,4159.239598,68261.7072,59943.228
12/1/2017,63977.57862,4178.208527,68155.78714,59799.37009
1/1/2018,62694.75857,4228.672972,66923.43155,58466.0856
2/1/2018,57989.34889,4267.19645,62256.54534,53722.15244
3/1/2018,64021.2316,4298.317137,68319.54874,59722.91446
4/1/2018,63379.67064,4324.690518,67704.36116,59054.98012
5/1/2018,66632.99409,4347.940506,70980.9346,62285.05359
6/1/2018,67619.21223,4369.090726,71988.30296,63250.12151
7/1/2018,70556.06011,4388.803296,74944.86341,66167.25682
8/1/2018,71912.42217,4407.515754,76319.93793,67504.90642
9/1/2018,69063.64272,4425.522289,73489.16501,64638.12043
10/1/2018,68610.94131,4443.023437,73053.96474,64167.91787
11/1/2018,63964.25435,4460.15727,68424.41162,59504.09708
12/1/2018,63835.22811,4477.019189,68312.2473,59358.20892
1/1/2019,62549.48532,4524.679975,67074.16529,58024.80534
2/1/2019,57842.01087,4562.326727,62404.3376,53279.68414
3/1/2019,63872.43493,4593.660829,68466.09576,59278.7741
4/1/2019,63229.84351,4620.881263,67850.72477,58608.96225
5/1/2019,66482.439,4645.35783,71127.79683,61837.08117
6/1/2019,67468.14288,4667.967783,72136.11066,62800.17509
7/1/2019,70404.62745,4689.286098,75093.91355,65715.34135
8/1/2019,71760.73286,4709.696835,76470.42969,67051.03603
9/1/2019,68911.7721,4729.460483,73641.23258,64182.31161
10/1/2019,68458.94259,4748.755923,73207.69852,63710.18667
11/1/2019,63812.16515,4767.70717,68579.87232,59044.45798
12/1/2019,63683.07499,4786.400579,68469.47556,58896.67441
1/1/2020,62397.28703,4835.832077,67233.11911,57561.45496
2/1/2020,57689.78068,4875.364955,62565.14564,52814.41573
3/1/2020,63720.18221,4908.623012,68628.80522,58811.5592
4/1/2020,63077.57487,4937.768058,68015.34293,58139.80681
5/1/2020,66330.15911,4964.15574,71294.31485,61366.00337
6/1/2020,67315.85504,4988.659161,72304.5142,62327.19588
7/1/2020,70252.334,5011.853245,75264.18725,65240.48076
8/1/2020,71608.43544,5034.123464,76642.55891,66574.31198
9/1/2020,68759.47188,5055.732084,73815.20397,63703.7398
10/1/2020,68306.6404,5076.859721,73383.50012,63229.78068
11/1/2020,63659.86155,5097.631994,68757.49355,58562.22956
12/1/2020,63530.7704,5118.136806,68648.90721,58412.6336
1/1/2021,62244.98175,5169.202399,67414.18415,57075.77936
2/1/2021,57537.47491,5210.49168,62747.96659,52326.98323
3/1/2021,63567.87609,5245.552911,68813.429,58322.32318
4/1/2021,62925.2685,5276.510711,68201.77921,57648.75779
5/1/2021,66177.85257,5304.70531,71482.55788,60873.14726
6/1/2021,67163.54838,5331.004183,72494.55256,61832.54419
7/1/2021,70100.02725,5355.980862,75456.00811,64744.04639
8/1/2021,71456.12863,5380.021146,76836.14978,66076.10749
9/1/2021,68607.16503,5403.388235,74010.55326,63203.77679
10/1/2021,68154.33351,5426.263828,73580.59734,62728.06968
11/1/2021,63507.55465,5448.774651,68956.3293,58058.78
12/1/2021,63378.46348,5471.009753,68849.47323,57907.45373
