Date,Monthuse_MG
1/1/1985,71469.56216
2/1/1985,63561.76651
3/1/1985,75001.79652
4/1/1985,72099.2776
5/1/1985,77292.37491
6/1/1985,74016.62866
7/1/1985,85276.66522
8/1/1985,86128.67411
9/1/1985,83574.16668
10/1/1985,80355.69166
11/1/1985,74718.1505
12/1/1985,76598.5594
1/1/1986,68072.80306
2/1/1986,63111.73198
3/1/1986,72133.54962
4/1/1986,72708.56781
5/1/1986,78240.02466
6/1/1986,77196.6975
7/1/1986,74727.1364
8/1/1986,71540.23487
9/1/1986,67296.94648
10/1/1986,64921.75649
11/1/1986,61144.91588
12/1/1986,61789.61833
1/1/1987,52173.18506
2/1/1987,53838.28869
3/1/1987,68919.79868
4/1/1987,69964.46411
5/1/1987,75147.97914
6/1/1987,75009.7713
7/1/1987,78240.60047
8/1/1987,83465.65225
9/1/1987,78133.34394
10/1/1987,70035.13331
11/1/1987,69289.30864
12/1/1987,68717.54287
1/1/1988,67356.38969
2/1/1988,62273.5246
3/1/1988,66298.03087
4/1/1988,66680.03742
5/1/1988,67991.4812
6/1/1988,66742.29136
7/1/1988,71287.76565
8/1/1988,69902.78855
9/1/1988,69833.07024
10/1/1988,71317.1708
11/1/1988,66157.59131
12/1/1988,66259.66912
1/1/1989,68576.97676
2/1/1989,62421.15224
3/1/1989,65915.57096
4/1/1989,71646.20124
5/1/1989,72575.16698
6/1/1989,72593.61088
7/1/1989,80788.95541
8/1/1989,80820.76535
9/1/1989,74974.17946
10/1/1989,72899.15577
11/1/1989,67604.13634
12/1/1989,68265.02752
1/1/1990,66817.68143
2/1/1990,60864.78091
3/1/1990,70536.71999
4/1/1990,78079.20473
5/1/1990,70329.72842
6/1/1990,69525.89688
7/1/1990,75701.52076
8/1/1990,78652.10927
9/1/1990,77276.66852
10/1/1990,78557.28611
11/1/1990,70965.04163
12/1/1990,71732.45184
1/1/1991,64106.69942
2/1/1991,61076.33602
3/1/1991,62954.06687
4/1/1991,60726.14583
5/1/1991,65843.95883
6/1/1991,68910.02611
7/1/1991,75563.84993
8/1/1991,76191.97421
9/1/1991,67870.13834
10/1/1991,65329.24529
11/1/1991,64301.50977
12/1/1991,65310.51039
1/1/1992,64308.31378
2/1/1992,58208.74486
3/1/1992,62495.62616
4/1/1992,62726.80635
5/1/1992,65281.73987
6/1/1992,64584.32021
7/1/1992,71793.41548
8/1/1992,70672.07093
9/1/1992,66577.83136
10/1/1992,68107.4943
11/1/1992,64272.02529
12/1/1992,64443.37147
1/1/1993,63039.55623
2/1/1993,57363.8857
3/1/1993,65076.83433
4/1/1993,68021.76152
5/1/1993,66714.00106
6/1/1993,70481.20139
7/1/1993,74294.77579
8/1/1993,75907.70244
9/1/1993,69355.2735
10/1/1993,68118.36471
11/1/1993,65859.40062
12/1/1993,63811.68945
1/1/1994,62669.80523
2/1/1994,58106.29222
3/1/1994,64076.18814
4/1/1994,64236.15339
5/1/1994,70420.1896
6/1/1994,71452.41357
7/1/1994,76219.34179
8/1/1994,71640.0709
9/1/1994,63818.30598
10/1/1994,69592.55821
11/1/1994,65042.766
12/1/1994,62878.37813
1/1/1995,59395.73114
2/1/1995,57401.38059
3/1/1995,64183.95075
4/1/1995,60747.03659
5/1/1995,66646.90797
6/1/1995,69276.46636
7/1/1995,72498.66627
8/1/1995,76002.81954
9/1/1995,73176.17664
10/1/1995,70902.58953
11/1/1995,62087.06462
12/1/1995,63456.47374
1/1/1996,61959.058
2/1/1996,58722.14509
3/1/1996,64277.1507
4/1/1996,62692.21244
5/1/1996,66676.44012
6/1/1996,71448.62296
7/1/1996,75453.01381
8/1/1996,75060.97923
9/1/1996,73978.42521
10/1/1996,72129.276
11/1/1996,65035.9398
12/1/1996,66638.42326
1/1/1997,70625.10272
2/1/1997,64168.92944
3/1/1997,65285.30965
4/1/1997,68055.1968
5/1/1997,70698.32111
6/1/1997,70948.08047
7/1/1997,76146.53456
8/1/1997,77013.77639
9/1/1997,75398.86248
10/1/1997,74923.53961
11/1/1997,66837.61362
12/1/1997,68857.77234
1/1/1998,69521.6917
2/1/1998,61924.53821
3/1/1998,65645.67715
4/1/1998,66249.0587
5/1/1998,71625.60972
6/1/1998,74494.75082
7/1/1998,79636.16187
8/1/1998,78199.6925
9/1/1998,72515.14725
10/1/1998,70342.77126
11/1/1998,67681.5486
12/1/1998,74815.64382
1/1/1999,71375.1809
2/1/1999,63169.5176
3/1/1999,67813.5884
4/1/1999,68978.8936
5/1/1999,74937.9336
6/1/1999,74412.3248
7/1/1999,78900.4765
8/1/1999,82345.5095
9/1/1999,78147.6188
10/1/1999,74438.7803
11/1/1999,70913.2342
12/1/1999,70691.5097
1/1/2000,66167.78486
2/1/2000,58995.21127
3/1/2000,66167.6502
4/1/2000,62426.07799
5/1/2000,68015.04635
6/1/2000,71999.29055
7/1/2000,76922.45942
8/1/2000,81328.05467
9/1/2000,77140.54948
10/1/2000,75907.23808
11/1/2000,67265.80358
12/1/2000,64560.15903
1/1/2001,65347.77519
2/1/2001,58708.4789
3/1/2001,63803.4856
4/1/2001,61497.60316
5/1/2001,65285.55973
6/1/2001,67473.5857
7/1/2001,74742.45341
8/1/2001,79396.54459
9/1/2001,69620.37215
10/1/2001,69588.49133
11/1/2001,62181.62663
12/1/2001,60659.48138
1/1/2002,61020.12776
2/1/2002,56395.35541
3/1/2002,59959.46954
4/1/2002,59859.66766
5/1/2002,63758.55
6/1/2002,68452.88722
7/1/2002,77523.74677
8/1/2002,74763.48757
9/1/2002,74646.11967
10/1/2002,74465.14941
11/1/2002,67044.75271
12/1/2002,65726.83111
1/1/2003,66271.35294
2/1/2003,59495.16136
3/1/2003,65038.44873
4/1/2003,62622.26095
5/1/2003,68786.13862
6/1/2003,69140.06068
7/1/2003,71300.97464
8/1/2003,74705.57149
9/1/2003,74256.33675
10/1/2003,74006.78423
11/1/2003,68070.47243
12/1/2003,71105.81058
1/1/2004,67121.49468
2/1/2004,63981.28024
3/1/2004,69791.81543
4/1/2004,68328.46768
5/1/2004,72276.91785
6/1/2004,70739.34886
7/1/2004,74136.53005
8/1/2004,78906.15396
9/1/2004,72802.50902
10/1/2004,74251.12483
11/1/2004,65350.40088
12/1/2004,63533.1891
1/1/2005,59600.76896
2/1/2005,57963.86179
3/1/2005,67455.09362
4/1/2005,64133.6266
5/1/2005,68618.24982
6/1/2005,66101.79891
7/1/2005,67321.9295
8/1/2005,72638.42353
9/1/2005,68812.04295
10/1/2005,65537.01383
11/1/2005,63555.82095
12/1/2005,62783.85119
1/1/2006,63995.78621
2/1/2006,60807.00097
3/1/2006,65909.64083
4/1/2006,61497.58072
5/1/2006,67654.4562
6/1/2006,70160.19023
7/1/2006,71580.41248
8/1/2006,72128.96969
9/1/2006,71073.81423
10/1/2006,69364.033
11/1/2006,62543.49359
12/1/2006,61863.59575
1/1/2007,69724.86899
2/1/2007,61540.99395
3/1/2007,67974.27671
4/1/2007,66543.24127
5/1/2007,70222.36941
6/1/2007,69256.07321
7/1/2007,72479.25339
8/1/2007,73449.06103
9/1/2007,67540.80126
10/1/2007,70506.32684
11/1/2007,65716.2114
12/1/2007,67395.88675
1/1/2008,64766.89558
2/1/2008,62654.56243
3/1/2008,65866.11562
4/1/2008,67033.82505
5/1/2008,67810.22071
6/1/2008,67891.48922
7/1/2008,73892.43167
8/1/2008,75772.39295
9/1/2008,69651.89571
10/1/2008,68030.26489
11/1/2008,57375.54461
12/1/2008,56343.44792
1/1/2009,58593.4354
2/1/2009,55603.02008
3/1/2009,61789.40224
4/1/2009,61458.61602
5/1/2009,63495.37828
6/1/2009,64239.48242
7/1/2009,61904.09973
8/1/2009,64688.01733
9/1/2009,63513.54424
10/1/2009,67122.47116
11/1/2009,62406.24573
12/1/2009,61011.488
1/1/2010,59821.2235
2/1/2010,53792.01171
3/1/2010,62500.22902
4/1/2010,62996.14851
5/1/2010,66740.94021
6/1/2010,66419.16582
