Year,FacilityID,FacilityOwner,FacilityName,Type,SubType,SourceName,SourceType,Sub-Basin,8DigitHUC,County,TotalIntake(MG),month,monthlyWaterUse,Date,monthlyWaterUseMG,NewWaterType,NewSubType
2008,0292-0001,"Alamac American Knits, LLC",Alamac American Knits,Industrial,Textile manufacturing,"Wells 1,2,4 and 5",Well,Lumber River (09-1),3040203,Robeson,169.75,1,15.81,1/1/2008,15.81,Groundwater,Textile Manufacturing
2008,0423-0001,Allen Canning Company,Allen Canning Company #7,Industrial,Aquaculture,East and West wells,Well,South River (02-4),3030006,Sampson,171.04,1,15.34,1/1/2008,15.34,Groundwater,Animal Production and Aquaculture
2008,0004-0001,"American & Efird, Inc.",Plant 15,Industrial,Textile manufacturing,Catawba River,River,Catawba River (03-1),3050101,Gaston,173.399,1,17.6,1/1/2008,17.6,Surface Water,Textile Manufacturing
2008,0385-0001,Arauco Panels USA LLC,Moncure Division,Industrial,Wood/Paper products,Haw River,River,Haw River (02-1),3030002,Chatham,176.86,1,12.15,1/1/2008,12.15,Surface Water,Wood & Paper Products
2008,0009-0001,Archer Daniels Midland Company,Southport Plant 789,Industrial,Chemical/Pharmaceutical manufacturing/processing,Construction well,Well,Cape Fear River (02-3),3030005,Brunswick,58.56,1,4.96,1/1/2008,4.96,Groundwater,Chemical
2008,0432-0001,"Avoca, Inc.",Avoca Farms,Industrial,Chemical/Pharmaceutical manufacturing/processing,Wells 1 and 2,Well,Chowan River (04-1),3010203,Bertie,17.912,1,1.147,1/1/2008,1.147,Groundwater,Chemical
2008,0249-0001,Baxter Healthcare Corporation,Baxter North Cove Facility,Industrial,Chemical/Pharmaceutical manufacturing/processing,"Wells 1,3,5 and 9",Well,Catawba River (03-1),3050101,McDowell,428.275,1,37.231,1/1/2008,37.231,Groundwater,Chemical
2008,0350-0001,"Blue Ridge Paper Products, Inc.",Canton Mill,Industrial,Wood/Paper products,Pigeon River,River,Pigeon River (05-3),6010106,Haywood,9787,1,837,1/1/2008,837,Surface Water,Wood & Paper Products
2008,0786-0001,Blue Ridge Tissue Corp,Blue Ridge Tissue Corp - Patterson Mill,Industrial,Wood/Paper products,In-take Pump and Fire Pump,River,Yadkin River (18-1),3040101,Caldwell,44.943,1,6.355,1/1/2008,6.355,Surface Water,Wood & Paper Products
2008,0095-0001,"Cascades Holdings US, Inc.",West Point Home Filter/Waste Treatment,Industrial,Textile manufacturing,"Pumps 1,2 and 3",River,Lumber River (09-1),3040203,Scotland,146.661,1,15.314,1/1/2008,15.314,Surface Water,Textile Manufacturing
2008,0353-0001,Clariant Corporation,Mt. Holly Plant,Industrial,Chemical/Pharmaceutical manufacturing/processing,"21 Deep Wells, 115 Shallow Wells, and Catawba River",River and Well,Catawba River (03-1),3050101,Mecklenburg,124.84,1,11.16,1/1/2008,11.16,Mix,Chemical
2008,0359-0001,"CNA Holdings, Inc.","CNA Holdings, Inc.-TICONA",Industrial,Metal/Plastic/Fiberglass manufacturing,Buffalo Creek,River,Broad River (01-1),3050105,Cleveland,177.976,1,15.841,1/1/2008,15.841,Surface Water,Metal/Plastic/Fiberglass
2008,0045-0001,Coats American,Sevier Finishing Plant,Industrial,Textile manufacturing,Armstrong Creek,Stream,Catawba River (03-1),3050101,McDowell,297.614,1,31.899,1/1/2008,31.899,Surface Water,Textile Manufacturing
2008,0382-0001,"Copland Industries, Inc","Copland Industries, Inc",Industrial,Textile manufacturing,Stoney Creek,Reservoir,Haw River (02-1),3030002,Alamance,50.13,1,4.4,1/1/2008,4.4,Surface Water,Textile Manufacturing
2008,0434-0001,"Dak Monomers, LLC",DAK Americas - Cape Fear Site,Industrial,Chemical/Pharmaceutical manufacturing/processing,Cape Fear River,River,Cape Fear River (02-3),3030005,Brunswick,2044.86,1,202.74,1/1/2008,202.74,Surface Water,Chemical
2008,0055-0001,"Delta Apparel, Inc.","Delta Apparel, Inc.",Industrial,Textile manufacturing,Catawba River,River,South Fork Catawba River (03-2),3030004,Catawba,391.842,1,37.727,1/1/2008,37.727,Surface Water,Textile Manufacturing
2008,0059-0003,Dupont,Dupont Company - Fayetteville,Industrial,Chemical/Pharmaceutical manufacturing/processing,Cape Fear River and DERC Clubhouse,River and Well,Cape Fear River (02-3),3030005,Bladen,5118.775,1,394.165,1/1/2008,394.165,Mix,Chemical
2008,0141-0001,Elementis Chromium L.P.,Elementis Chromium Castle Hayne Plant,Industrial,Metal/Plastic/Fiberglass manufacturing,"PW-7,8,9 and Intake Canal",River and Well,Northeast Cape Fear River (02-5),3030007,New Hanover,442.672,1,37.448,1/1/2008,37.448,Mix,Metal/Plastic/Fiberglass
2008,0296-0001,General Electric Company,GE Wilmington,Industrial,Chemical/Pharmaceutical manufacturing/processing,19 Wells,Well,Cape Fear River (02-3),3030007,New Hanover,203.26,1,18.29,1/1/2008,18.29,Groundwater,Chemical
2008,0066-0001,International Paper,Riegelwood Mill,Industrial,Wood/Paper products,Lower Cape Fear River,River,Cape Fear River (02-3),3030005,Columbus,13548.1,1,1196.6,1/1/2008,1196.6,Surface Water,Wood & Paper Products
2008,0358-0002,Invista Sarl,"Invista, Sarl",Industrial,Textile manufacturing,Wells and River,Well and River,Cape Fear River (02-3),3030007,New Hanover,1630.8,1,157.17,1/1/2008,157.17,Mix,Textile Manufacturing
2008,0670-0001,Jackson Paper Manufacturing Company,Jackson Paper Manufacturing Company,Industrial,Wood/Paper products,Scotts Creek,Stream,Tuskasegee River (07-2),6010203,Jackson,45.594,1,3.875,1/1/2008,3.875,Surface Water,Wood & Paper Products
2008,0037-0001,Kapston Kraft Paper Corp.,Roanoke Rapids Mill,Industrial,Wood/Paper products,Roanoke River,River,Roanoke River (14-1),3010107,Halifax,7228.03,1,449.81,1/1/2008,449.81,Surface Water,Wood & Paper Products
2008,0060-0001,"Kordsa, Inc.","Kordsa, Inc.",Industrial,Textile manufacturing,Kordsa Well,Well,Big Shoe Heel Creek (09-2),3040204,Scotland,0.889,1,0.12,1/1/2008,0.12,Groundwater,Textile Manufacturing
2008,0001-0001,Lousiana Pacific Corporation,Lousiana Pacific Corporation,Industrial,Wood/Paper products,Yadkin River and 2 Wells,River and Well,Yadkin River (18-1),3040101,Wilkes,465.016,1,45.043,1/1/2008,45.043,Mix,Wood & Paper Products
2008,0720-0001,Nucor Corporation,Nucor Steel,Industrial,Metal/Plastic/Fiberglass manufacturing,Fire Pump and 9 Wells,Well and Pond,Chowan River (04-1),3010203,Hertford,317.231,1,23.777,1/1/2008,23.777,Surface Water,Metal/Plastic/Fiberglass
2008,0142-0001,Occidental Chemical Corp.,Castle Hayne Plant,Industrial,Chemical/Pharmaceutical manufacturing/processing,26 Wells,Well,Northeast Cape Fear River (02-5),3030007,New Hanover,32.275,1,2.759,1/1/2008,2.759,Groundwater,Chemical
2008,0230-0002,"Perdue Farms, Inc.",Cofield Facility,Industrial,Animal processing,3 Wells,Well,Chowan River (04-1),3010203,Hertford,486.96,1,39.99,1/1/2008,39.99,Groundwater,Food
2008,0383-0001,Performance Fibers Inc.,Performance Fibers - New Hill Facility,Industrial,Textile manufacturing,Haw River,River,Haw River (02-1),3030002,Chatham,83.89,1,6.82,1/1/2008,6.82,Surface Water,Textile Manufacturing
2008,0383-0002,Performance Fibers Inc.,Performance Fibers - Salisbury Facility,Industrial,Textile manufacturing,Second Creek,Stream,South Yadkin River (18-2),3040102,Rowan,271.561,1,20.522,1/1/2008,20.522,Surface Water,Textile Manufacturing
2008,0285-0007,Pilgrim's Pride,Pilgrim's Pride Water Treatment Plant,Industrial,Animal processing,Deep River,River,Deep River (02-2),3030003,Lee,343.264,1,31.185,1/1/2008,31.185,Surface Water,Food
2008,0146-0001,RENOVA Partners,Davidson River Village,Industrial,Wood/Paper products,No Source Listed,No Source Listed,French Broad River (05-2),6010105,Transylvania,17.602,1,4.688,1/1/2008,4.688,No Source Listed,Wood & Paper Products
2008,0248-0001,Siemens Westinghouse Power Corporation,Charlotte Turbine Generator Service Center,Industrial,Metal/Plastic/Fiberglass manufacturing,Lake Wylie,Lake,Catawba River (03-1),3050101,Mecklenburg,10.202,1,0.651,1/1/2008,0.651,Surface Water,Metal/Plastic/Fiberglass
2008,0429-0003,Smithfield Foods,Clinton Plant,Industrial,Animal processing,Smithfield Clinton Wells 1 and 2,Well,South River (02-4),3030006,Sampson,388.015,1,36.394,1/1/2008,36.394,Groundwater,Food
2008,0429-0002,Smithfield Foods,Smithfield Packing - Tar Heel Division,Industrial,Animal processing,9 Wells,Well,Lumber River (09-1),3040203,Bladen,514.213,1,47.337,1/1/2008,47.337,Groundwater,Food
2008,0705-0001,"True Textiles, Inc.","True Elkin, Inc.",Industrial,Textile manufacturing,Big Elkin Creek and Yadkin River,Stream and River,Yadkin River (18-1),3040101,Surry,241.386,1,22.968,1/1/2008,22.968,Surface Water,Textile Manufacturing
2008,0426-0001,"Tyson Foods, Inc",River Valley Animal Foods,Industrial,Animal processing,6 Wells,Well,South Yadkin River (18-2),3040102,Iredell,54.347,1,1.085,1/1/2008,1.085,Groundwater,Food
2008,0713-0001,"Valley Proteins, Inc.","Carolina By- Products, Gastonia Division",Industrial,Animal processing,Crowders Creek and Well,Stream and Well,Catawba River (03-1),3050101,Gaston,94.2,1,8.1,1/1/2008,8.1,Surface Water,Food
2008,0205-0003,Weyerhaeuser Company,Weyerhaeuser Company,Industrial,Wood/Paper products,4 Wells and a River,River and Well,Neuse River (10-1),3030003,Craven,5622.17,1,471.2,1/1/2008,471.2,Mix,Wood & Paper Products
2008,0601-0001,"Zink Imaging, Inc.","Zink Imaging, Inc.",Industrial,Chemical/Pharmaceutical manufacturing/processing,2 Wells,Well,Haw River (02-1),3030002,Guilford,34.878,1,2.79,1/1/2008,2.79,Groundwater,Chemical
2009,0292-0001,"Alamac American Knits, LLC",Alamac American Knits,Industrial,Textile manufacturing,"Wells 1,2,4 and 5",Well,Lumber River (09-1),3040203,Robeson,165.79,1,13.64,1/1/2009,13.64,Groundwater,Textile Manufacturing
2009,0423-0001,Allen Canning Company,Allen Canning Company #7,Industrial,Aquaculture,East and West wells,Well,South River (02-4),3030006,Sampson,148.71,1,5.25,1/1/2009,5.25,Groundwater,Animal Production and Aquaculture
2009,0004-0001,"American & Efird, Inc.",Plant 15,Industrial,Textile manufacturing,Catawba River,River,Catawba River (03-1),3050101,Gaston,246.603,1,15.067,1/1/2009,15.067,Surface Water,Textile Manufacturing
2009,0385-0001,Arauco Panels USA LLC,Moncure Division,Industrial,Wood/Paper products,Haw River,River,Haw River (02-1),3030002,Chatham,16.273,1,1.798,1/1/2009,1.798,Surface Water,Wood & Paper Products
2009,0009-0001,Archer Daniels Midland Company,Southport Plant 789,Industrial,Chemical/Pharmaceutical manufacturing/processing,Construction well,Well,Cape Fear River (02-3),3030005,Brunswick,16.02,1,0,1/1/2009,0,Groundwater,Chemical
2009,0432-0001,"Avoca, Inc.",Avoca Farms,Industrial,Chemical/Pharmaceutical manufacturing/processing,Wells 1 and 2,Well,Chowan River (04-1),3010203,Bertie,38.217,1,2.015,1/1/2009,2.015,Groundwater,Chemical
2009,0249-0001,Baxter Healthcare Corporation,Baxter North Cove Facility,Industrial,Chemical/Pharmaceutical manufacturing/processing,"Wells 1,3,5 and 9",Well,Catawba River (03-1),3050101,McDowell,415.69,1,31.62,1/1/2009,31.62,Groundwater,Chemical
2009,0350-0001,"Blue Ridge Paper Products, Inc.",Canton Mill,Industrial,Wood/Paper products,Pigeon River,River,Pigeon River (05-3),6010106,Haywood,10414.86,1,835.45,1/1/2009,835.45,Surface Water,Wood & Paper Products
