Date,Total Water Used (MG)
12/31/1975,1269140.614
12/31/1976,1267074.695
12/31/1977,1300426.41
12/31/1978,1214007.945
12/31/1979,1151826.365
12/31/1980,1168990.104
12/31/1981,1040819.911
12/31/1982,1009308.264
12/31/1983,923784.715
12/31/1984,999650.2219
12/31/1985,1032390.881
12/31/1986,899132.9604
12/31/1987,978242.5137
12/31/1988,1026016.031
12/31/1989,1003986.334
12/31/1990,1004965.339
12/31/1991,980439.5348
12/31/1992,945094.425
12/31/1993,913259.9875
12/31/1994,867365.7453
12/31/1995,879284.6855
12/31/1996,939424.2019
12/31/1997,624284.7237
12/31/1998,888678.2582
12/31/1999,844806.7177
12/31/2000,623309.0275
12/31/2001,800918.5846
12/31/2002,727423.2029
12/31/2003,487234.8612
12/31/2004,727135.1336
12/31/2005,461735.0571
12/31/2006,470261.1546
12/31/2007,456614.8936
12/31/2008,593091.8293
12/31/2009,571899.2832
12/31/2010,592543.0865
12/31/2011,625358.7552
12/31/2012,639396.9744
12/31/2013,603521.0226
12/31/2014,605139.4409
12/31/2015,592364.4515
